Experiment,Trial,Listener Latency,Adv Latency,Adv Power,Trial Duration (ms),Trial Start,End Time,Notes,,,,,,,,,,,,,,,,,
1,1,Balanced,Balanced,High,300000,17:12,17:17,,,,,,,,,,,,,,,,,,
1,2,Balanced,Balanced,Medium,300000,18:50,18:55,Lamps came on during this trial,,,,,,,,,,,,,,,,,
1,3,Balanced,Balanced,Low,300000,19:09,19:14,,,,,,,,,,,,,,,,,,
1,4,Balanced,Balanced,Ultra_low,300000,17:46,17:51,Lamps came on during this trial,,,,,,,,,,,,,,,,,
1,5,Balanced,Low_Latency,High,300000,17:57,18:02,Lamps went back off during this trial,,,,,,,,,,,,,,,,,
1,6,Balanced,Low_Latency,Medium,300000,18:10,18:15,,,,,,,,,,,,,,,,,,
1,7,Balanced,Low_Latency,Low,300000,18:25,18:30,,,,,,,,,,,,,,,,,,
1,8,Balanced,Low_Latency,Ultra_low,300000,19:45,19:50,,,,,,,,,,,,,,,,,,
1,9,Balanced,Low_Power,High,300000,19:57,20:02,,,,,,,,,,,,,,,,,,
1,10,Balanced,Low_Power,Medium,300000,20:10,20:15,,,,,,,,,,,,,,,,,,
1,11,Balanced,Low_Power,Low,300000,20:28,20:33,,,,,,,,,,,,,,,,,,
1,12,Balanced,Low_Power,Ultra_low,300000,20:58,21:03,,,,,,,,,,,,,,,,,,
1,13,Low_Latency,Balanced,High,300000,21:10,21:15,,,,,,,,,,,,,,,,,,
1,14,Low_Latency,Balanced,Medium,300000,21:23,21:28,,,,,,,,,,,,,,,,,,
1,15,Low_Latency,Balanced,Low,300000,21:35,21:40,,,,,,,,,,,,,,,,,,
1,16,Low_Latency,Balanced,Ultra_low,300000,21:51,21:56,,,,,,,,,,,,,,,,,,
1,17,Low_Latency,Low_Latency,High,300000,22:25,22:30,,,,,,,,,,,,,,,,,,
1,18,Low_Latency,Low_Latency,Medium,300000,22:40,22:45,,,,,,,,,,,,,,,,,,
1,19,Low_Latency,Low_Latency,Low,300000,23:00,23:05,,,,,,,,,,,,,,,,,,
1,20,Low_Latency,Low_Latency,Ultra_low,300000,23:16,23:21,,,,,,,,,,,,,,,,,,
1,21,Low_Latency,Low_Power,High,300000,23:52,23:57,,,,,,,,,,,,,,,,,,
1,22,Low_Latency,Low_Power,Medium,300000,23:39,23:44,,,,,,,,,,,,,,,,,,
1,23,Low_Latency,Low_Power,Low,300000,0:03,0:08,,,,,,,,,,,,,,,,,,
1,24,Low_Latency,Low_Power,Ultra_low,300000,0:17,0:22,,,,,,,,,,,,,,,,,,
1,25,Low_Power,Balanced,High,300000,0:29,0:34,,,,,,,,,,,,,,,,,,
1,26,Low_Power,Balanced,Medium,300000,0:40,0:45,,,,,,,,,,,,,,,,,,
1,27,Low_Power,Balanced,Low,300000,0:51,0:56,,,,,,,,,,,,,,,,,,
1,28,Low_Power,Balanced,Ultra_low,300000,1:02,1:07,,,,,,,,,,,,,,,,,,
1,29,Low_Power,Low_Latency,High,300000,1:16,1:21,,,,,,,,,,,,,,,,,,
1,30,Low_Power,Low_Latency,Medium,300000,1:34,1:39,,,,,,,,,,,,,,,,,,
1,31,Low_Power,Low_Latency,Low,300000,1:45,1:50,,,,,,,,,,,,,,,,,,
1,32,Low_Power,Low_Latency,Ultra_low,300000,1:56,2:01,,,,,,,,,,,,,,,,,,
1,33,Low_Power,Low_Power,High,300000,2:07,2:12,,,,,,,,,,,,,,,,,,
1,34,Low_Power,Low_Power,Medium,300000,2:40,2:45,,,,,,,,,,,,,,,,,,
1,35,Low_Power,Low_Power,Low,300000,2:29,2:34,,,,,,,,,,,,,,,,,,
1,36,Low_Power,Low_Power,Ultra_low,300000,2:50,2:55,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
