 , Adv_Actual_End_Time, Adv_Length, Adv Latency, Adv_Start_Time, Adv Power, Experiment_ID, Model_Number, Scan_Actual_End_Time, Scan_Length, Scan_Mode,charge_difference, Serial_Number, Trial_ID, bat_discovery_count, bat_end_charge_counter, bat_end_current_average, bat_end_current_capacity, bat_end_current_now, bat_start_charge_counter, bat_start_current_average, bat_start_current_capacity, bat_start_current_now,Manufacturer
 ,1.43E+12,60000, Low_Latency,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2772, ZX1G223G4S,1, ,176024,-163956,99,-121056,178796,-163800,99,-199368,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, High,3, Nexus 6, , , ,2756, ZX1G223G4S,1, ,173258,-162864,99,-145392,176014,-164580,99,-204672,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Medium,3, Nexus 6, , , ,2753, ZX1G223G4S,1, ,181550,-160680,99,-151320,184303,-151164,99,-210288,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Low,3, Nexus 6, , , ,2744, ZX1G223G4S,1, ,178806,-163332,99,-125736,181550,-160680,99,-384384,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Medium,3, Nexus 6, , , ,2711, ZX1G223G4S,1, ,192419,-155844,100,-124176,195130,-148824,100,-253656,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2705, ZX1G223G4S,1, ,187016,-150072,99,-165360,189721,-145704,99,-176280,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, High,3, Nexus 6, , , ,2703, ZX1G223G4S,1, ,184313,-150228,99,-162552,187016,-150072,99,-165360,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, High,3, Nexus 6, , , ,2701, ZX1G223G4S,1, ,195142,-147264,100,-148824,197843,-160680,100,-153816,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Low,3, Nexus 6, , , ,2689, ZX1G223G4S,1, ,189730,-145080,99,-176280,192419,-155844,100,-218400,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Low,3, Nexus 6, , , ,2687, ZX1G223G4S,1, ,167908,-155844,99,-140712,170595,-155532,99,-390000,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Medium,3, Nexus 6, , , ,2663, ZX1G223G4S,1, ,170595,-155532,99,-166608,173258,-162864,99,-145392,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2661, ZX1G223G4S,1, ,165237,-155688,99,-127296,167898,-156468,99,-198432,motorola
,1.43E+12,60000, Balanced,1.43E+12, High,3, Nexus 6, , , ,2652, ZX1G222LJL,1, ,8613,-163176,100,-157560,11265,-178152,100,-228072,motorola
,1.43E+12,60000, Low_Latency,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2647, ZX1G222LJL,1, ,32758397,-164580,99,-127920,32761044,-157404,99,-277992,motorola
,1.43E+12,60000, Balanced,1.43E+12, Low,3, Nexus 6, , , ,2600, ZX1G222LJL,1, ,3432,-160524,99,-179400,6032,-155844,99,-341016,motorola
,1.43E+12,60000, Low_Latency,1.43E+12, Low,3, Nexus 6, , , ,2594, ZX1G222LJL,1, ,32761044,-155532,99,-162240,32763638,-155532,99,-165672,motorola
,1.43E+12,60000, Low_Power,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2591, ZX1G222LJL,1, ,32748025,-153660,99,-151320,32750616,-153816,99,-177528,motorola
,1.43E+12,60000, Low_Power,1.43E+12, High,3, Nexus 6, , , ,2590, ZX1G222LJL,1, ,32755798,-153036,99,-149760,32758388,-164892,99,-189072,motorola
,1.43E+12,60000, Low_Power,1.43E+12, Low,3, Nexus 6, , , ,2587, ZX1G222LJL,1, ,32750624,-153504,99,-120432,32753211,-154128,99,-258648,motorola
,1.43E+12,60000, Low_Power,1.43E+12, Medium,3, Nexus 6, , , ,2580, ZX1G222LJL,1, ,32753211,-154128,99,-126048,32755791,-153036,99,-149760,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, High,3, Nexus 6, , , ,2579, ZX1G224GBF,1, ,19370,-151632,100,-124488,21949,-162240,100,-145704,motorola
,1.43E+12,60000, Balanced,1.43E+12, Medium,3, Nexus 6, , , ,2566, ZX1G222LJL,1, ,6039,-156000,99,-144768,8605,-163176,100,-157560,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Medium,3, Nexus 6, , , ,2563, ZX1G224GBF,1, ,6738,-147264,99,-144456,9301,-153348,99,-280488,motorola
,1.43E+12,60000, Balanced,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2563, ZX1G222LJL,1, ,859,-152880,99,-126048,3422,-161148,99,-198120,motorola
,1.43E+12,60000, Low_Latency,1.43E+12, Medium,3, Nexus 6, , , ,2562, ZX1G222LJL,1, ,32763647,-155376,99,-118560,32766209,-161148,99,-248040,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2542, ZX1G224GBF,1, ,1652,-147576,99,-110448,4194,-152256,99,-274248,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Medium,3, Nexus 6, , , ,2539, ZX1G224GBF,1, ,32764566,-148980,99,-121680,32767105,-151632,99,-117000,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, High,3, Nexus 6, , , ,2528, ZX1G224GBF,1, ,9315,-151320,99,-133848,11843,-147264,99,-150072,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Low,3, Nexus 6, , , ,2519, ZX1G224GBF,1, ,4208,-150228,99,-121992,6727,-148668,99,-234000,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2512, ZX1G224GBF,1, ,11850,-147264,99,-123240,14362,-149448,100,-144456,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Low,3, Nexus 6, , , ,2509, ZX1G224GBF,1, ,14369,-149448,100,-141648,16878,-149916,100,-201552,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Low,3, Nexus 6, , , ,2500, ZX1G224GBF,1, ,32762057,-146796,99,-138216,32764557,-149448,99,-182520,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2483, ZX1G224GBF,1, ,32759567,-146640,99,-137280,32762050,-146796,99,-146328,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Medium,3, Nexus 6, , , ,2474, ZX1G224GBF,1, ,16888,-149136,100,-140712,19362,-151788,100,-156000,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, High,3, Nexus 6, , , ,2335, ZX1G2245FB,1, ,121634,-144300,99,-108888,123969,-143052,99,-274248,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, High,3, Nexus 6, , , ,2333, ZX1G2245FB,1, ,130870,-141804,99,-224952,133203,-140556,99,-267072,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2327, ZX1G2245FB,1, ,114697,-144456,99,-322296,117024,-138996,99,-350064,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2323, ZX1G2245FB,1, ,133216,-138528,99,-224952,135539,-138060,100,-249600,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Low,3, Nexus 6, , , ,2321, ZX1G2245FB,1, ,135552,-136344,100,-249600,137873,-139776,100,-273312,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2314, ZX1G2245FB,1, ,123969,-143052,99,-122928,126283,-143052,99,-143520,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Medium,3, Nexus 6, , , ,2304, ZX1G2245FB,1, ,119330,-140712,99,-189384,121634,-144300,99,-706056,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Medium,3, Nexus 6, , , ,2296, ZX1G2245FB,1, ,137886,-137748,100,-273312,140182,-135408,100,-431808,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Low,3, Nexus 6, , , ,2296, ZX1G2245FB,1, ,117024,-138996,99,-172224,119320,-141492,99,-189384,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Low,3, Nexus 6, , , ,2282, ZX1G2245FB,1, ,126290,-143052,99,-161928,128572,-141492,99,-181272,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Medium,3, Nexus 6, , , ,2278, ZX1G2245FB,1, ,128580,-140868,99,-215904,130858,-143364,99,-242736,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, High,3, Nexus 6, , , ,2262, ZX1G2245FB,1, ,140182,-135408,100,-321984,142444,-146484,100,-269880,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Medium,3, Nexus 6, , , ,2215, ZX1G224MX7,1, ,77858,-144144,100,-137904,80073,-133536,100,-96096,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, High,3, Nexus 6, , , ,2198, ZX1G224MX7,1, ,71320,-138996,99,-111072,73518,-135720,100,-101712,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2194, ZX1G224MX7,1, ,56097,-133380,99,-134160,58291,-129168,99,-337896,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2191, ZX1G224MX7,1, ,73518,-135720,100,-101712,75709,-131040,100,-133536,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Low,3, Nexus 6, , , ,2187, ZX1G224MX7,1, ,58291,-129168,99,-97968,60478,-127608,99,-146640,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Low,3, Nexus 6, , , ,2175, ZX1G224MX7,1, ,66990,-137592,99,-123552,69165,-131820,99,-102024,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, High,3, Nexus 6, , , ,2175, ZX1G224MX7,1, ,62636,-136968,99,-116064,64811,-134472,99,-130728,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Ultra_Low,3, Nexus 6, , , ,2166, ZX1G224MX7,1, ,64818,-134472,99,-130728,66984,-137436,99,-123552,motorola
 ,1.43E+12,60000, Low_Latency,1.43E+12, Medium,3, Nexus 6, , , ,2155, ZX1G224MX7,1, ,69165,-131820,99,-102024,71320,-138996,99,-111072,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, Low,3, Nexus 6, , , ,2149, ZX1G224MX7,1, ,75709,-131040,100,-133536,77858,-144144,100,-137904,motorola
 ,1.43E+12,60000, Balanced,1.43E+12, High,3, Nexus 6, , , ,2147, ZX1G224MX7,1, ,80073,-133536,100,-96096,82220,-145704,100,-159432,motorola
 ,1.43E+12,60000, Low_Power,1.43E+12, Medium,3, Nexus 6, , , ,2144, ZX1G224MX7,1, ,60485,-127296,99,-148824,62629,-137124,99,-147888,motorola
