 Experiment_ID, Model_Number, Scan_Actual_End_Time, Scan_Length,Listener Latency, Scan_Start_Time, Serial_Number, Trial_ID, bat_discovery_count, bat_end_charge_counter, bat_end_current_average, bat_end_current_capacity, bat_end_current_now, bat_start_charge_counter, bat_start_current_average, bat_start_current_capacity, bat_start_current_now,Manufacturer,charge_difference
3, Nexus 6,1.43E+12,60000, Balanced,1.43E+12, ZX1G2245FB,1,92,147682,-158340,100,-409344,150376,-147888,100,-820560,motorola,2694
3, Nexus 6,1.43E+12,60000, Low_Latency,1.43E+12, ZX1G2245FB,1,216,144867,-172224,100,-261768,147682,-158340,100,-409344,motorola,2815
3, Nexus 6,1.43E+12,60000, Low_Power,1.43E+12, ZX1G2245FB,1,23,142444,-146484,100,-269880,144867,-172224,100,-261768,motorola,2423
3, Nexus 6,1.43E+12,60000, Balanced,1.43E+12, ZX1G224GBF,1,84,27651,-164736,100,-177528,30532,-154440,100,-498576,motorola,2881
3, Nexus 6,1.43E+12,60000, Low_Latency,1.43E+12, ZX1G224GBF,1,210,24648,-180492,100,-190008,27642,-164892,100,-177528,motorola,2994
3, Nexus 6,1.43E+12,60000, Low_Power,1.43E+12, ZX1G224GBF,1,26,21949,-162240,100,-145704,24640,-180180,100,-161928,motorola,2691
3, Nexus 6,1.43E+12,60000, Balanced,1.43E+12, ZX1G224MX7,1,91,87206,-150384,100,-110448,89745,-142272,100,-510744,motorola,2539
3, Nexus 6,1.43E+12,60000, Low_Latency,1.43E+12, ZX1G224MX7,1,221,84547,-168324,100,-160992,87206,-150384,100,-167232,motorola,2659
3, Nexus 6,1.43E+12,60000, Low_Power,1.43E+12, ZX1G224MX7,1,28,82227,-145548,100,-159432,84547,-168324,100,-160992,motorola,2320
3, Nexus 6,1.43E+12,60000, Balanced,1.43E+12, ZX1G223G4S,1,85,203931,-170040,100,-167544,207011,-164736,100,-614328,motorola,3080
3, Nexus 6,1.43E+12,60000, Low_Latency,1.43E+12, ZX1G223G4S,1,211,200725,-181896,100,-184392,203921,-170352,100,-190320,motorola,3196
3, Nexus 6,1.43E+12,60000, Low_Power,1.43E+12, ZX1G223G4S,1,25,197843,-160680,100,-153816,200725,-181896,100,-184392,motorola,2882
3, Nexus 6,1.43E+12,60000, Balanced,1.43E+12, ZX1G222LJL,1,97,17175,-184392,100,-204360,20262,-161616,100,-666120,motorola,3087
3, Nexus 6,1.43E+12,60000, Low_Latency,1.43E+12, ZX1G222LJL,1,221,14062,-190164,100,-185328,17175,-184392,100,-204360,motorola,3113
3, Nexus 6,1.43E+12,60000, Low_Power,1.43E+12, ZX1G222LJL,1,41,11265,-178152,100,-170664,14062,-190164,100,-274248,motorola,2797
